Cites,Year,Source,ArticleURL,CitesURL
4,2011,Plant Physiology and Biochemistry,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79955732852&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955732852&origin=inward
4,2016,Pharmaceutical Biology,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84949844461&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84949844461&origin=inward
4,2015,Acta Tropica,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84925423929&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925423929&origin=inward
4,2011,Check List,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84856477967&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84856477967&origin=inward
3,2008,Revista de la Asociacion Geologica Argentina,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=55149087290&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=55149087290&origin=inward
3,2013,Florida Entomologist,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887088820&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887088820&origin=inward
3,2013,Memorias do Instituto Oswaldo Cruz,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84879575506&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879575506&origin=inward
3,2009,Ecologia Austral,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=76749111996&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=76749111996&origin=inward
3,2017,Ethology Ecology and Evolution,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84945243012&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84945243012&origin=inward
2,2015,Parasitology Research,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84943632842&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84943632842&origin=inward
2,2014,Florida Entomologist,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84896961559&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84896961559&origin=inward
2,2012,Archaeofauna,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84869416034&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84869416034&origin=inward
2,2010,Seed Science and Technology,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77956257175&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956257175&origin=inward
2,2012,Mammalia,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84869422201&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84869422201&origin=inward
2,2012,Journal of Vertebrate Paleontology,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84868592398&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84868592398&origin=inward
2,2014,Florida Entomologist,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84925011557&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925011557&origin=inward
1,2016,Environmental Entomology,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85007571977&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85007571977&origin=inward
1,2013,Journal of Arid Environments,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84880587159&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880587159&origin=inward
1,2016,Mammalia,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84992655477&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84992655477&origin=inward
1,2014,Acta Horticulturae,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84913604345&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84913604345&origin=inward
1,2015,Medical and Veterinary Entomology,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84937731407&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84937731407&origin=inward
1,2013,Ameghiniana,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84896840532&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84896840532&origin=inward
1,2014,Journal of Raptor Research,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84918552824&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84918552824&origin=inward
1,2015,Boletin de la Sociedad Argentina de Botanica,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84949772314&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84949772314&origin=inward
1,2016,Journal of Mammalogy,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84991047756&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84991047756&origin=inward
0,2016,Ibersid,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84977109071&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84977109071&origin=inward
0,2016,Mastozoologia Neotropical,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019763540&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019763540&origin=inward
0,2018,Biological Control,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85033396432&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85033396432&origin=inward
0,2017,Ecologia Austral,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85038818162&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85038818162&origin=inward
0,2014,Revista Eureka,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84906329127&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84906329127&origin=inward
0,2017,"Environment, Development and Sustainability",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84966694873&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84966694873&origin=inward
